Pressure, Temperature, X_ch4, X_c2h6, X_c3h8, ch4_uptake, c2h6_uptake, c3h8_uptake
0.3,340,0.3,0.2,0.5,0.0000000000,0.0001000000,0.0028000000
0.3,340,0.333,0.333,0.334,0.0000200000,0.0001600000,0.0016400000
0.3,340,0.3,0.4,0.3,0.0000000000,0.0001800000,0.0014200000
0.3,340,0.4,0.1,0.5,0.0000000000,0.0000400000,0.0027000000
0.3,340,0.4,0.2,0.4,0.0000400000,0.0001000000,0.0024800000
0.3,340,0.4,0.3,0.3,0.0000200000,0.0001200000,0.0013200000
0.3,340,0.5,0.4,0.1,0.0000000000,0.0001200000,0.0004000000
0.3,340,0.5,0.1,0.4,0.0000000000,0.0000200000,0.0020400000
0.3,340,0.6,0.1,0.3,0.0000200000,0.0000600000,0.0014000000
0.3,360,0.1,0.6,0.3,0.0000000000,0.0002000000,0.0006200000
0.3,360,0.1,0.2,0.7,0.0000000000,0.0001200000,0.0015400000
0.3,360,0.2,0.3,0.5,0.0000000000,0.0001200000,0.0010600000
0.3,360,0.2,0.5,0.3,0.0000000000,0.0002000000,0.0005200000
0.3,360,0.2,0.6,0.2,0.0000000000,0.0001600000,0.0004800000
0.3,360,0.2,0.4,0.4,0.0000000000,0.0002200000,0.0006600000
0.3,360,0.3,0.3,0.4,0.0000000000,0.0001000000,0.0008200000
0.3,360,0.3,0.2,0.5,0.0000000000,0.0000200000,0.0011400000
0.3,360,0.333,0.333,0.334,0.0000000000,0.0001200000,0.0006000000
0.3,360,0.3,0.4,0.3,0.0000000000,0.0001400000,0.0005200000
0.3,360,0.4,0.1,0.5,0.0000000000,0.0000200000,0.0008000000
0.3,360,0.4,0.2,0.4,0.0000000000,0.0000400000,0.0008000000
0.3,360,0.4,0.3,0.3,0.0000000000,0.0001200000,0.0005200000
0.3,360,0.5,0.4,0.1,0.0000200000,0.0001400000,0.0003200000
0.3,360,0.5,0.1,0.4,0.0000200000,0.0000200000,0.0007200000
0.3,360,0.6,0.1,0.3,0.0000200000,0.0000200000,0.0005400000
0.3,380,0.1,0.6,0.3,0.0000000000,0.0001400000,0.0002400000
0.3,380,0.1,0.2,0.7,0.0000000000,0.0000600000,0.0005600000
0.3,380,0.2,0.3,0.5,0.0000000000,0.0001200000,0.0005000000
0.3,380,0.2,0.5,0.3,0.0000000000,0.0000800000,0.0002600000
0.3,380,0.2,0.6,0.2,0.0000000000,0.0001400000,0.0000800000
0.3,380,0.2,0.4,0.4,0.0000000000,0.0000800000,0.0002200000
0.3,380,0.3,0.3,0.4,0.0000000000,0.0000800000,0.0003000000
0.3,380,0.3,0.2,0.5,0.0000000000,0.0000800000,0.0004200000
